par_id,rmse,nse,r,re,mae,nmae
p01,4.73065144060724,0.370914551422979,0.737410787049296,0.0815111040077177,3.35030121461248,0.278200510366136
p02,3.24503685043895,0.703989575540923,0.866137782863141,-0.116229751557729,2.75664376155858,0.229272555035105
p03,5.11442216171578,0.264706229970581,0.745398015096858,0.179139736744729,3.12379835340948,0.258326182775523
p04,6.64860615468456,-0.228432541810303,0.749506485380666,0.391445046001362,4.72354908926269,0.396843051910712
p05,2.02204683457835,0.885065566209793,0.945613628156658,0.0957961593940759,1.73506379512885,0.136558340505173
p06,3.03216644487217,0.74155161991048,0.903355834428754,0.163940645287048,2.56416942734682,0.211047443837511
p07,4.14469267216812,0.517105336261272,0.777021211951763,0.0362858210531228,3.10357168262781,0.259511809683587
p08,4.7674138999636,0.361099163916629,0.797262535200665,-0.209542959342258,3.53929721053898,0.234633788925861
p09,5.44049560857908,0.172530767066799,0.734557718966891,0.221793399453333,3.35449344860927,0.283644480480269
p10,4.47057813903161,0.443327532158425,0.938226813183532,0.333806453030766,4.00385258567742,0.333806453030766
