wind_speed,swr,turb_param.k_min,qual
1,1,1e-05,92572.1982240819
1.02826983858576,0.885504864338966,1.03888943960654e-05,100982.243759195
0.82739471888329,1.01311073905924,1.11050140807771e-05,96421.9406003675
0.951479050498189,0.881795031894471,1.06596831005195e-05,102205.536853757
1.05028282896989,0.911626502180477,1.08499124617778e-05,99729.1794612169
1.00857002664295,1.06257617858501,8.72660629461517e-06,85633.454649573
0.990454472721281,1.03557581484932,6.96641767588567e-06,79819.362585487
1.05463161989607,1.0220088241005,8.30237678028048e-06,85642.8306522886
1.15325588524684,1.19544289140287,9.39904979686638e-06,85510.2825991192
0.97117324981962,0.932938197458806,7.60701803089083e-06,90447.9639609389
1.04403117364629,0.986666878594484,6.28426329471509e-06,81752.0204262589
