par_id,rmse,nse,r,re,mae,nmae
p01,3.21793639092413,0.69505182679828,0.878614512900523,-0.0980446218744527,2.15618114416448,0.139951958250762
p02,4.91424270771925,0.288812148268088,0.80598184643245,-0.240447999488969,3.59984593307927,0.250150405906399
p03,4.74210043859261,0.33776424964381,0.874924899680359,0.311375571481966,3.69460399569566,0.312590938937612
p04,5.17038592644679,0.212742063819464,0.760279953193336,0.224348852714417,3.11566203457037,0.253536686279755
p05,6.42790604255035,-0.216774685438451,0.783857130577026,0.407433213747939,4.83300167116834,0.407646371007943
p06,5.45907679374147,0.122373894560115,0.786125010766895,-0.287488394537231,4.13403802709636,0.290776060078226
p07,4.63237754597815,0.368055379141146,0.846243939276353,0.270710483217516,3.24583945838113,0.273361299021328
p08,3.03239103810126,0.729204442876755,0.922423816781214,-0.152601373161306,2.29410608311442,0.176994031001116
p09,5.51971142892457,0.102769821946768,0.742513861575427,0.253869004699293,3.32859546718713,0.277934820511362
p10,6.93714010862548,-0.417202982900337,0.742628772833489,0.430649936659465,5.05986729535896,0.430840867570375
