par_id,rmse,nse,r,re,mae,nmae
p01,3.06361192368766,0.723599624900633,0.915706171982182,-0.144492944814792,2.38584768279375,0.180813283262685
p02,2.39914425180464,0.83049447895396,0.923243371543594,0.0814590856197845,1.6941155960341,0.149189207553753
p03,4.91037297084381,0.289931761783242,0.828030261716432,-0.259738729404664,3.71624698962383,0.26464320794508
p04,2.32348652780732,0.841016723510765,0.930686713529683,-0.0621230647395108,1.78918357729583,0.136615521738816
p05,2.74465728861896,0.778156160099071,0.924021273219051,-0.126595612005269,2.41080793421503,0.195980716416762
p06,3.6910297657522,0.59879510711195,0.895814406750538,-0.196575684085575,2.85976221598993,0.216935245925681
p07,2.7812914142048,0.772194546762857,0.886557528270882,-0.00544424795060079,2.18980948559751,0.16652511687761
p08,2.21606393001231,0.855377556256257,0.930691217222669,-0.0317365752209735,1.55865415022475,0.114726401530165
p09,3.03592892523654,0.728572200543707,0.872011735936899,-0.048760853460045,2.31146631011223,0.171803441309251
p10,5.27383112829572,0.180925200225909,0.804964763157944,-0.27824303436334,4.00469903662529,0.280905861890556
