wind_speed,swr,turb_param.k_min,qual
1,1,1e-05,86991.3482957016
1.0969396691642,1.09089170319836,1.06083422938392e-05,87146.9814670739
0.925743821084304,1.03893238000033,1.04105870392392e-05,87741.021540895
1.00632750757251,0.769066830642186,1.03060765774232e-05,110052.267764868
1.03952566466638,1.02096708260849,9.82401893106497e-06,85307.4028263634
1.16273078127939,1.025535899535,1.01725297701506e-05,86515.9532081889
1.0186287925977,1.04815847950633,1.02659521837811e-05,86410.172779851
1.08831258130617,1.16278672699066,8.66711447337563e-06,77293.8104446182
1.13806913487522,1.03389560322697,7.8933285536764e-06,75393.5632558434
1.13106478283096,0.842748320656033,7.80139829548974e-06,90735.0146211582
1.29741269497239,1.26466151005485,6.33068278147033e-06,61604.8065393351
1.26980734502337,1.04593181065228,6.59503072932335e-06,67471.2169919124
1.27950740076533,1.28409993171432,5.49237698630679e-06,53614.7734000573
1.19362250235189,1.29656128168449,6.267191917162e-06,60038.9394568106
1.16409732605627,1.33944270703169,5.70523126170618e-06,54486.2763839108
1.15620868108971,1.25931786258675,4.41354611784683e-06,42342.6006195901
1.00030159721563,1.26484574727578,3.7072592260709e-06,35335.3025118787
0.979694412039265,1.26516679643329,2.89492732103197e-06,31692.4292664123
0.922133307234023,1.30288527365386,1.38737421262864e-06,41107.8075496868
0.964718482746362,1.2870093158401,9.86399094933655e-07,53923.6221264615
0.868594339595408,1.25089578491559,2.37931980833743e-06,32866.5089676531
1.02152591877683,1.09451492327318,3.73479296281042e-06,45373.140607489
1.03090172763891,1.1039768743563,3.93189513155215e-06,45346.2245197409
0.922055791530231,1.31185493473453,1.77475884686291e-06,33235.5083014014
1.11140030902194,1.3573714123851,1.85382643988965e-06,26547.870604164
1.09711478924086,1.28453532931717,8.66437373685596e-07,51470.2600564756
1.19476763091076,1.2492499847413,2.02901963782637e-06,31384.5835462289
0.936928281110494,1.23445968607042,3.07262459568174e-06,33759.5549365941
1.15778873593153,1.42624227793611,1.57440689843763e-06,23261.255475904
1.18027644566571,1.25798581139656,2.89893789551971e-06,32043.4052744986
1.19804381267983,1.3891660031876,1.03612258855191e-06,30841.8452971063
1.33361713336038,1.47087668118844,2.59078703266672e-06,23841.9188429932
1.01067919899259,1.30410316895141,1.71562448461395e-06,33235.4227529776
1.25876400128998,1.44078849317833,6.90739526312654e-07,31909.2028918899
1.20742078804262,1.45282564485434,2.08140314687143e-06,20737.2663935183
1.0472448365079,1.36638135347291,3.95522336462426e-06,35210.3239042454
1.15745510640232,1.60358712403509,1.9740086783529e-06,17147.1272286726
1.34213273957921,1.58023757876449,1.89246380137365e-06,16885.1713866747
1.38204423423041,1.54273163293735,3.28554177353232e-06,32147.8561693237
1.46559641709095,1.69816280061961,2.37983253607767e-06,24413.2941161383
1.21714071000734,1.4454113674601,2.12415096886063e-06,21069.1946907163
1.55336136246857,1.66175614667354,8.85768800629985e-07,10679.8203517878
1.40446793830037,1.7458435269068,1.56663012541169e-06,13847.8295666693
