par_id,rmse,nse,r,re,mae,nmae
p01,2.42860942507418,0.870076524080125,0.956655807231164,0.14556464452975,2.08471031567511,0.181715708559654
p02,5.66171302923784,0.293897117424799,0.882146581598985,-0.281527702079355,4.64286057214156,0.281527702079355
p03,5.65954411773386,0.294438007192757,0.685905056983633,-0.0414931407094454,4.20764177805127,0.266535142291504
p04,6.46030559419789,0.0806552445748067,0.67909935787388,-0.167308273355269,4.22203810924319,0.245356609218086
p05,4.68349564833418,0.516816026615019,0.810150686408704,-0.106472528093351,3.01129896415251,0.166361940056807
p06,4.44810961701788,0.564163858314972,0.820865420362423,-0.0888631671476981,2.81394327748176,0.156737402999258
p07,6.35873435244744,0.10933652538417,0.741928901036882,-0.243812770006358,4.2083747201049,0.253800748710408
p08,5.49980749189198,0.333703924425391,0.714206376817735,-0.0912489853700395,3.70308128161542,0.218834802766548
p09,7.32132650048604,-0.1807333462669,0.747929531833534,-0.362235106707173,5.70712825476871,0.362349022783374
p10,6.77554921933213,-0.0112564104614732,0.740452604086415,-0.288675090309943,4.93055638418528,0.289328538642386
