Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       24   1.00000       4.91420       4.76223       4.55269      0.294133      0.103939E-01  0.170101E-02  -67.4155      -9.18409      -23.4226       0.00000       0.00000      -335.582       2.02669      0.503947      0.170206       4.65398     -0.649893       0.00000       0.00000       0.00000       0.00000    
       25   1.04167       4.88710       4.75755       4.54381      0.305217      0.107862E-01  0.209834E-02  -85.1791      -16.9045      -31.1961       0.00000       0.00000      -335.451       3.10103      0.505719      0.171152       4.65379     -0.701674       0.00000       0.00000       0.00000       0.00000    
       26   1.08333       4.86323       4.75162       4.53631      0.316232      0.111759E-01  0.239360E-02  -100.448      -24.9605      -39.1767       0.00000       0.00000      -335.336       4.00874      0.508062      0.174050       4.65320     -0.733368       0.00000       0.00000       0.00000       0.00000    
       27   1.12500       4.84082       4.74463       4.52959      0.328226      0.116003E-01  0.271093E-02  -124.253      -33.1034      -47.3272       0.00000       0.00000      -335.228       4.83058      0.511111      0.177869       4.65243     -0.754120       0.00000       0.00000       0.00000       0.00000    
       28   1.16667       4.81753       4.73597       4.52300      0.305015      0.107805E-01  0.301126E-02  -149.643      -42.7275      -53.4064       0.00000       0.00000      -335.115       5.65006      0.515095      0.181803       4.65163     -0.772574       0.00000       0.00000       0.00000       0.00000    
       29   1.20833       4.79332       4.72552       4.51666      0.282813      0.999622E-02  0.315345E-02  -154.931      -51.7347      -58.9063       0.00000       0.00000      -334.999       6.45388      0.519359      0.185917       4.65079     -0.787866       0.00000       0.00000       0.00000       0.00000    
       30   1.25000       4.77106       4.71471       4.51131      0.260520      0.920866E-02  0.322428E-02  -174.466      -59.8419      -63.7051       52.7050       0.00000      -334.891       7.16084      0.524012      0.190842       4.64979     -0.792405       0.00000       0.00000       0.00000       0.00000    
       31   1.29167       4.75420       4.70620       4.50760      0.271216      0.958704E-02  0.261952E-02  -164.831      -48.8550      -63.1231       203.149       0.00000      -334.810       7.72400      0.529022      0.192269       4.64951     -0.805964       0.00000       0.00000       0.00000       0.00000    
       32   1.33333       4.75606       4.70884       4.50813      0.282060      0.997032E-02  0.123199E-02  -157.452      -37.6573      -62.6520       343.594       0.00000      -334.819       7.87534      0.535727      0.184255       4.65113     -0.847477       0.00000       0.00000       0.00000       0.00000    
       33   1.37500       4.77215       4.72177       4.51135      0.293156      0.103622E-01   0.00000      -134.682      -26.2080      -62.2189       498.506       0.00000      -334.897       7.87534      0.543334      0.166403       4.65475     -0.941056       0.00000       0.00000       0.00000       0.00000    
