datetime,wtr_0,wtr_0.5,wtr_1,wtr_1.5,wtr_2,wtr_2.5,wtr_3,wtr_3.5,wtr_4,wtr_4.5,wtr_5,wtr_5.5,wtr_6,wtr_6.5,wtr_7,wtr_7.5,wtr_8,wtr_8.5,wtr_9,wtr_9.5,wtr_10,wtr_10.5,wtr_11,wtr_11.5,wtr_12
2020-04-03 00:00:00,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57
2020-04-04 00:00:00,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.84,4.83,4.82,4.8,4.78,4.76,4.73,4.71,4.68,4.66,4.63,4.61,4.59,4.57,4.56,4.55,4.55
2020-04-05 00:00:00,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.96,4.62,4.54
2020-04-06 00:00:00,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.13,4.54
2020-04-07 00:00:00,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.33,5.08,4.9,4.76,4.67,4.6,4.56,4.55
2020-04-08 00:00:00,7.75,7.75,7.75,7.37,7.02,6.71,6.43,6.18,5.96,5.76,5.58,5.43,5.29,5.17,5.06,4.96,4.88,4.8,4.74,4.68,4.64,4.6,4.57,4.56,4.55
2020-04-09 00:00:00,7.4,7.4,7.4,7.4,7.4,7.4,7.19,6.81,6.47,6.18,5.92,5.7,5.51,5.34,5.2,5.07,4.97,4.87,4.8,4.73,4.67,4.63,4.6,4.58,4.57
2020-04-10 00:00:00,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.77,6.7,6.32,6.01,5.74,5.52,5.33,5.18,5.05,4.94,4.85,4.78,4.72,4.67,4.64,4.62,4.61
2020-04-11 00:00:00,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.42,6.25,5.87,5.57,5.33,5.15,5,4.88,4.79,4.72,4.68,4.65,4.63
2020-04-12 00:00:00,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.22,5.83,5.52,5.28,5.09,4.95,4.84,4.75,4.69,4.65,4.64
2020-04-13 00:00:00,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.85,6.83,6.31,5.9,5.58,5.32,5.12,4.97,4.85,4.76,4.69,4.65,4.64
2020-04-14 00:00:00,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.53,6.24,5.76,5.41,5.15,4.96,4.83,4.74,4.69,4.67
2020-04-15 00:00:00,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,5.76,5.36,5.08,4.9,4.78,4.71,4.69
2020-04-16 00:00:00,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.09,6.03,5.43,5.07,4.86,4.75,4.71
2020-04-17 00:00:00,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,6.17,5.96,5.31,4.97,4.79,4.73
2020-04-18 00:00:00,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.2,5.55,5.16,4.92,4.79,4.74
2020-04-19 00:00:00,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,6.33,4.78
2020-04-20 00:00:00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.45,5.46,4.83
2020-04-21 00:00:00,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,5.86,5
2020-04-22 00:00:00,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.99,6.73,5.71,5.08
2020-04-23 00:00:00,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.95,7.92,7.75,7.55,7.32,7.07,6.81,6.54,6.27,6.01,5.76,5.54,5.36,5.21,5.12,5.08
2020-04-24 00:00:00,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.62,8.61,8.43,8.22,7.98,7.72,7.44,7.15,6.85,6.56,6.27,6,5.75,5.52,5.34,5.19,5.1,5.07
2020-04-25 00:00:00,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.69,8.49,8.25,7.98,7.69,7.38,7.06,6.73,6.41,6.11,5.82,5.57,5.35,5.19,5.08,5.04
2020-04-26 00:00:00,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.69,8.43,8.12,7.79,7.43,7.06,6.68,6.32,5.97,5.66,5.39,5.19,5.05,5
2020-04-27 00:00:00,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,9.02,8.96,8.65,8.3,7.9,7.48,7.04,6.6,6.18,5.8,5.46,5.2,5.03,4.97
2020-04-28 00:00:00,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,9.01,8.83,8.43,7.97,7.48,6.98,6.48,6.01,5.59,5.26,5.04,4.96
2020-04-29 00:00:00,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.41,10.19,9.86,9.5,9.11,8.71,8.29,7.86,7.43,7.01,6.61,6.23,5.88,5.57,5.32,5.12,4.99,4.95
2020-04-30 00:00:00,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.04,9.66,9.26,8.84,8.4,7.96,7.52,7.09,6.67,6.28,5.92,5.6,5.33,5.12,4.99,4.95
2020-05-01 00:00:00,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.33,8.78,8.2,7.63,7.06,6.51,6.01,5.58,5.24,5.01,4.92
2020-05-02 00:00:00,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,10.11,9.66,9.06,8.44,7.82,7.21,6.62,6.09,5.62,5.25,5.01,4.92
2020-05-03 00:00:00,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,10.49,9.97,9.32,8.66,7.99,7.34,6.72,6.15,5.66,5.27,5.02,4.92
2020-05-04 00:00:00,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.85,10.48,9.76,9.04,8.31,7.59,6.91,6.28,5.74,5.31,5.02,4.92
2020-05-05 00:00:00,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,10.97,10.26,9.54,8.82,8.1,7.41,6.77,6.18,5.67,5.27,5.01,4.91
