datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Air_Temperature_celsius	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Vapour_Pressure_milliBar	Longwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerHour
2.79166666666667	10.950552	0	-10.190009	0	2.4193788	214.82001	0
2.83333333333333	10.830333	0	-10.449988	0	2.3667044	214.82001	0
2.875	10.766415	0	-10.699988	0	2.3141406	199.63	0
2.91666666666667	10.240635	0	-10.709998	0	2.3537062	199.63	0
2.95833333333333	9.723724	0	-10.709998	0	2.393355	199.63	0
3	9.2188175	0	-10.720007	0	2.4327668	195.74001	0
3.04166666666667	9.3038597	0	-10.739996	0	2.443145	195.74001	0
3.08333333333333	9.395371	0	-10.769995	0	2.4533355	195.74001	0
3.125	9.4931662	0	-10.790015	0	2.4636573	222.3	0
3.16666666666667	9.0683847	0	-10.560004	0	2.5153938	222.3	0
3.20833333333333	8.6600055	0	-10.329993	0	2.5671345	222.3	0
3.25	8.2535445	0	-10.100012	0	2.6188806	288.75	0
3.29166666666667	7.2000349	0	-8.8899902	0	2.8957342	288.75	0
3.33333333333333	6.3569255	0	-7.6900085	29.120001	3.1723341	288.75	0
3.375	5.8343982	0	-6.4899963	105.819	3.4488179	300.59	0
3.41666666666667	5.0412004	0	-5.4799866	161.005	3.7101394	300.60001	0
3.45833333333333	4.3560072	0	-4.4799866	205.617	3.9725068	300.60001	0
3.5	3.8222113	0	-3.4700073	255.103	4.2362204	292.39001	0
3.54166666666667	3.8659799	0	-3.3400024	232.858	4.2084156	292.39001	0
3.58333333333333	4.4291873	0	-3.2200073	194.487	4.1806387	292.39001	0
3.625	5.3642522	0	-3.0900024	170.24001	4.1530479	248.88	0
3.66666666666667	4.7139049	0	-4.7299866	60.925999	3.7679614	248.88	0
3.70833333333333	4.0810416	0	-6.3599915	0	3.3811921	248.88	0
3.75	3.4541569	0	-8.0000061	0	2.9929606	233.59	0
3.79166666666667	4.3294457	0	-8.3100037	0	2.897423	233.59	0
3.83333333333333	5.2260215	0	-8.630011	0	2.8018351	233.58	0
3.875	6.1286542	0	-8.9400085	0	2.7063638	238.78	0
3.91666666666667	5.7675386	0	-9.6799988	0	2.5538853	238.77	0
3.95833333333333	5.4483026	0	-10.419989	0	2.401236	238.77	0
4	5.1886798	0	-11.16001	0	2.2481073	235.05	0
4.04166666666667	5.4228038	0	-11.759985	0	2.148177	235.05	0
4.08333333333333	5.6896135	0	-12.370001	0	2.0481431	235.05	0
4.125	5.9663808	0	-12.970007	0	1.9483307	226.84	0
4.16666666666667	6.2790526	0	-13.750006	0	1.8253582	226.84	0
4.20833333333333	6.5855904	0	-14.540015	0	1.7023817	226.84	0
4.25	6.895223	0	-15.320013	0	1.5797285	213.78999	0
4.29166666666667	7.1002536	0	-15.500006	0	1.5317585	213.78999	0
4.33333333333333	7.3077013	0	-15.679999	51.144001	1.4835216	213.78999	0
4.375	7.5220008	0	-15.859991	171.881	1.4353316	208.8	0
4.41666666666667	7.928909	0	-15.63999	261.55801	1.4493452	208.8	0
4.45833333333333	8.3293035	0	-15.41001	334.17001	1.4635157	208.8	0
4.5	8.7365557	0	-15.179999	362.21201	1.4776825	218.35001	0
4.54166666666667	8.6950212	0	-15.380011	330.965	1.4385469	218.35001	0
4.58333333333333	8.6874623	0	-15.570013	276.92999	1.3995976	218.35001	0
4.625	8.7118597	0	-15.769995	181.30901	1.3606699	209.22	0
4.66666666666667	8.8957741	0	-16.750006	66.237999	1.2594649	209.22	0
4.70833333333333	9.1015879	0	-17.730002	0	1.1580027	209.22	0
4.75	9.3278507	0	-18.709998	0	1.0566032	215.13	0
4.79166666666667	9.3710459	0	-19.599997	0	0.97565283	215.13	0
4.83333333333333	9.4020107	0	-20.480002	0	0.89503621	215.13	0
4.875	9.4486877	0	-21.370001	0	0.81443678	203.88	0
4.91666666666667	9.1397375	0	-21.9	0	0.77562252	203.88	0
4.95833333333333	8.8531631	0	-22.429999	0	0.73677155	203.88	0
5	8.561647	0	-22.959998	0	0.69788464	139.78999	0
5.04166666666667	8.5116448	0	-23.329993	0	0.68014908	139.78999	0
5.08333333333333	8.5536539	0	-23.700003	0	0.66242901	139.78999	0
5.125	8.6863401	0	-24.079993	0	0.64472177	157.27	0
5.16666666666667	8.6861846	0	-24.4	0	0.62920925	157.27	0
5.20833333333333	8.6903452	0	-24.720007	0	0.61354756	157.27	0
5.25	8.6915592	0	-25.039999	0	0.59804992	196.03	0
5.29166666666667	8.6153815	0	-25.090002	0	0.58868206	196.03	0
5.33333333333333	8.5592639	0	-25.140005	34.348999	0.57947011	196.03	0
5.375	8.5364218	0	-25.179999	146.183	0.57010414	179.73	0
5.41666666666667	8.6224416	0	-24.670004	222.44501	0.59301923	179.73	0
5.45833333333333	8.7255083	0	-24.159995	284.298	0.61598461	179.73	0
5.5	8.8229817	0	-23.65	335.492	0.63884283	155.39	0
5.54166666666667	8.7478284	0	-23.530005	306.86301	0.6405755	155.39	0
5.58333333333333	8.6802591	0	-23.4	257.23199	0.64230888	155.39	0
5.625	8.6172904	0	-23.280005	106.424	0.6440371	190.53	0
5.66666666666667	8.5293899	0	-23.530005	39.681	0.63189691	190.53	0
5.70833333333333	8.4480771	0	-23.769995	0	0.61973612	190.53	0
5.75	8.3679984	0	-24.019995	0	0.60739241	203.69	0
5.79166666666667	8.1128295	0	-23.929999	0	0.62631628	203.69	0
5.83333333333333	7.8715819	0	-23.829993	0	0.64522794	203.69	0
5.875	7.6554101	0	-23.739996	0	0.66396485	203.05	0
5.91666666666667	7.4177961	0	-23.539999	0	0.67640644	203.05	0
5.95833333333333	7.1810655	0	-23.329993	0	0.68885218	203.05	0
6	6.9453077	0	-23.129996	0	0.70113911	202.95	0
6.04166666666667	6.5516181	0	-23.049994	0	0.71675826	202.95	0
6.08333333333333	6.2150302	0	-22.959998	0	0.73223358	202.95	0
6.125	5.9454858	0	-22.870001	0	0.74787623	175.23	0
6.16666666666667	5.4439048	0	-23.049994	0	0.75060497	175.23	0
6.20833333333333	4.9842351	0	-23.230002	0	0.75333217	175.23	0
6.25	4.5630361	0	-23.409995	0	0.75621541	208.33	0
6.29166666666667	4.5733575	0	-22.730002	0	0.79561573	208.33	0
6.33333333333333	4.5805239	0	-22.049994	42.403	0.83517833	208.33	0
6.375	4.5929619	0	-21.370001	149.668	0.87458873	210.42999	0
6.41666666666667	4.8400414	0	-20.299994	227.69901	0.96114911	210.42999	0
6.45833333333333	5.1022448	0	-19.239996	291.09201	1.047549	210.42999	0
6.5	5.3773598	0	-18.170004	380.979	1.1341045	190.13	0
6.54166666666667	5.0846434	0	-17.510001	348.82001	1.2056987	190.13	0
6.58333333333333	4.8412397	0	-16.859991	292.94299	1.2775545	190.13	0
6.625	4.6548899	0	-16.199988	206.595	1.3493643	156.87	0
6.66666666666667	4.2323162	0	-17.530005	78.595001	1.255876	156.87	0
6.70833333333333	3.826552	0	-18.849997	0	1.1622862	156.87	0
6.75	3.4470276	0	-20.170004	0	1.0685998	156.02	0
6.79166666666667	3.0845745	0	-20.500006	0	1.0288242	156.02	0
6.83333333333333	2.7690432	0	-20.840002	0	0.98927331	156.02	0
