2014-05-04 00:00:00	23   2
0	8.781
-0.5	8.525
-1	8.179
-1.5	8.062
-2	8.06
-3	7.806
-4	7.372
-5	7.352
-6	7.23
-7	7.006
-8	6.968
-9	6.853
-10	6.902
-11	6.84
-12	6.939
-13	6.821
-14	6.884
-15	6.968
-16	6.863
-17	6.811
-18	6.859
-19	6.81
-20	6.795
