deps,temp
2,4.566667
3,4.577778
4,4.366667
5,4.333333
6,4.311111
7,4.3
8,4.3
9,4.288889
10,4.211111
11,4.2
12,4.144444
13,4.166667
14,4.122222
15,4.144444
16,4.088889
17,4.066667
18,4.077778
19,4.055556
20,4.044444
21,4.055556
22,4
23,4.688889
