datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
2020-06-02 00:00:00,124,18.41666667,0
2020-06-03 00:00:00,146,20.5375,0
2020-06-04 00:00:00,122,22,0
2020-06-05 00:00:00,104,22.54583333,0
2020-06-06 00:00:00,96.1,22.79166667,0
2020-06-07 00:00:00,86.8,21.2875,0
2020-06-08 00:00:00,85.9,21.17083333,0
2020-06-09 00:00:00,62,21.62916667,0
2020-06-10 00:00:00,164,21.0125,0
2020-06-11 00:00:00,274,19.7,0
2020-06-12 00:00:00,218,20.35833333,0
2020-06-13 00:00:00,119,19.825,0
2020-06-14 00:00:00,91.8,19.5125,0
2020-06-15 00:00:00,87,19.50416667,0
2020-06-16 00:00:00,92.7,19.9375,0
2020-06-17 00:00:00,87.5,20.8625,0
2020-06-18 00:00:00,87.6,21.36666667,0
2020-06-19 00:00:00,88,22.375,0
2020-06-20 00:00:00,84.1,23.25416667,0
2020-06-21 00:00:00,88.8,23.72916667,0
2020-06-22 00:00:00,110,23.3625,0
2020-06-23 00:00:00,120,22.825,0
2020-06-24 00:00:00,98.9,22.57916667,0
2020-06-25 00:00:00,83.6,23.34583333,0
2020-06-26 00:00:00,115,23.12916667,0
2020-06-27 00:00:00,168,23.625,0
2020-06-28 00:00:00,143,24.44166667,0
2020-06-29 00:00:00,88.7,23.56666667,0
2020-06-30 00:00:00,86.1,23.63333333,0
2020-07-01 00:00:00,88.1,24.42916667,0
2020-07-02 00:00:00,84.3,25.64166667,0
2020-07-03 00:00:00,82.4,28.00416667,0
2020-07-04 00:00:00,79.6,28.07916667,0
2020-07-05 00:00:00,77,29.04166667,0
2020-07-06 00:00:00,77.9,29.48333333,0
2020-07-07 00:00:00,112,29.65416667,0
2020-07-08 00:00:00,134,28.5,0
2020-07-09 00:00:00,126,28.3125,0
2020-07-10 00:00:00,305,27.2625,0
2020-07-11 00:00:00,360,26.9,0
2020-07-12 00:00:00,192,26.64166667,0
2020-07-13 00:00:00,107,27.0625,0
2020-07-14 00:00:00,101,26.175,0
2020-07-15 00:00:00,160,25.69583333,0
2020-07-16 00:00:00,154,26.07916667,0
2020-07-17 00:00:00,180,26.1875,0
2020-07-18 00:00:00,118,25.7625,0
2020-07-19 00:00:00,136,25.975,0
2020-07-20 00:00:00,115,26.14583333,0
2020-07-21 00:00:00,89.5,25.94166667,0
2020-07-22 00:00:00,106,25.675,0
2020-07-23 00:00:00,93.3,25.8125,0
2020-07-24 00:00:00,77.4,26.2,0
2020-07-25 00:00:00,76,26.24166667,0
2020-07-26 00:00:00,90.6,26.35,0
2020-07-27 00:00:00,170,26.61666667,0
2020-07-28 00:00:00,132,26.325,0
2020-07-29 00:00:00,131,26.96666667,0
2020-07-30 00:00:00,105,26.75,0
2020-07-31 00:00:00,90.8,25.75416667,0
2020-08-01 00:00:00,86.4,25.87083333,0
2020-08-02 00:00:00,96.4,25.70833333,0
2020-08-03 00:00:00,97.4,24.76666667,0
2020-08-04 00:00:00,87.5,24.025,0
2020-08-05 00:00:00,84.1,23.83333333,0
2020-08-06 00:00:00,82.4,24.28333333,0
2020-08-07 00:00:00,77.3,23.84583333,0
2020-08-08 00:00:00,81.7,23.95416667,0
2020-08-09 00:00:00,109,24.51666667,0
2020-08-10 00:00:00,133,24.3375,0
2020-08-11 00:00:00,112,25.0875,0
2020-08-12 00:00:00,96.1,25.57916667,0
2020-08-13 00:00:00,97.8,24.5375,0
2020-08-14 00:00:00,86.7,24.8125,0
2020-08-15 00:00:00,82.9,24.6375,0
2020-08-16 00:00:00,90.7,24.59166667,0
2020-08-17 00:00:00,94.8,24.84166667,0
2020-08-18 00:00:00,92.5,24.84166667,0
2020-08-19 00:00:00,78.1,25.26666667,0
2020-08-20 00:00:00,84.5,24.6875,0
2020-08-21 00:00:00,85.1,24.64166667,0
2020-08-22 00:00:00,79.7,24.66666667,0
2020-08-23 00:00:00,85.6,25.37916667,0
2020-08-24 00:00:00,76.9,26.35833333,0
2020-08-25 00:00:00,61.5,26.04583333,0
2020-08-26 00:00:00,67.7,25.7,0
2020-08-27 00:00:00,100,25.74166667,0
2020-08-28 00:00:00,115,25.7625,0
2020-08-29 00:00:00,119,25.3,0
2020-08-30 00:00:00,99,24.9625,0
2020-08-31 00:00:00,77.8,24.075,0
2020-09-01 00:00:00,66,23.61666667,0
2020-09-02 00:00:00,70.3,23.39166667,0
2020-09-03 00:00:00,108,23.0875,0
2020-09-04 00:00:00,102,22.55833333,0
2020-09-05 00:00:00,91.7,22.41666667,0
2020-09-06 00:00:00,72.3,22.04583333,0
2020-09-07 00:00:00,111,21.60416667,0
2020-09-08 00:00:00,95.6,20.925,0
2020-09-09 00:00:00,99.7,20.00416667,0
2020-09-10 00:00:00,111,19.04583333,0
2020-09-11 00:00:00,129,18.6125,0
2020-09-12 00:00:00,177,18.375,0
2020-09-13 00:00:00,197,18.525,0
