datetime,Air_Temperature_celsius,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Relative_Humidity_percent,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Rainfall_millimeterPerDay,Surface_Level_Barometric_Pressure_pascal
2019-12-31 18:00:00,-3.29999389648395,0,201.380004882812,80.6345757854941,6.30384029007198,0,97648.2578125
2019-12-31 19:00:00,-3.94998779296895,0,201.380004882812,83.8413864444978,5.71135691722399,0,97706.6796875
2019-12-31 20:00:00,-4.590002441406,0,201.380004882812,87.1277531430906,5.1135312224226,0,97765.84375
2019-12-31 21:00:00,-5.239996337891,0,195.110000610352,90.6281326951523,4.52269832918483,0,97824.2578125
2019-12-31 22:00:00,-5.70999755859395,0,195.110000610352,91.9478080727842,3.86331453404915,0,97703.9375
2019-12-31 23:00:00,-6.16998901367197,0,195.110000610352,93.1851813295332,3.2448420800854,0,97583.078125
2020-01-01 00:00:00,-6.63999023437498,0,189.100006103516,94.4670088551347,2.71447959275022,0,97462.1171875
2020-01-01 01:00:00,-6.82001342773395,0,189.100006103516,94.4140061147225,2.73300207113278,0,97484.0390625
2020-01-01 02:00:00,-7.000006103516,0,189.100006103516,94.3330281581352,2.85490805021886,0,97505.3203125
2020-01-01 03:00:00,-7.17999877929697,0,184.089996337891,94.2327129511841,3.06537105056763,0,97526.6015625
2020-01-01 04:00:00,-7.38999023437498,0,184.089996337891,94.7605669342879,3.04540638246068,0,97459.5625
2020-01-01 05:00:00,-7.60999145507799,0,184.089996337891,95.3450727390602,3.09027505368021,0,97392.6171875
2020-01-01 06:00:00,-7.829992675781,0,182.149993896484,95.9397502177766,3.17812836488379,0,97325.578125
2020-01-01 07:00:00,-7.38999023437498,0,182.149993896484,94.6443805219975,3.66956392085488,0,97335.2578125
2020-01-01 08:00:00,-6.94998779296895,50.6399993896484,182.149993896484,93.3536048642303,4.20862193292019,0,97345.578125
2020-01-01 09:00:00,-6.50998535156197,192.447998046875,196.339996337891,92.0465683643268,4.76555371188642,0,97355.359375
2020-01-01 10:00:00,-4.600012207031,292.368011474609,196.339996337891,90.913518202814,5.47320750684103,0,97249.1015625
2020-01-01 11:00:00,-2.69000854492197,372.75,196.339996337891,88.5732060086921,6.18275812965301,0,97142.640625
2020-01-01 12:00:00,-0.780004882811966,358.705993652344,233.639999389648,85.4204056651222,6.89264113777739,0,97035.921875
2020-01-01 13:00:00,-0.239996337891,326.415008544922,233.639999389648,84.337435191609,7.37738424658737,0,96972.296875
2020-01-01 14:00:00,0.290002441406045,271.190002441406,233.639999389648,83.2846204694912,7.88000011444092,0,96908.421875
2020-01-01 15:00:00,0.830010986328034,151.151992797852,260.309997558594,82.1515610871122,8.39688667086723,0,96844.5390625
2020-01-01 16:00:00,0.700006103516046,50.8160018920898,260.309997558594,81.9847125326126,8.05179502169791,0,96764.71875
2020-01-01 17:00:00,0.559991455078034,0,260.309997558594,81.8762923912583,7.73992897887014,0,96684.8984375
2020-01-01 18:00:00,0.420007324219,0,259.609985351562,81.7493987133358,7.46545366667864,0,96604.8828125
2020-01-01 19:00:00,0.510003662109,0,259.609985351562,82.4630174489335,7.26614743234984,0,96653.15625
2020-01-01 20:00:00,0.600000000000023,0,259.609985351562,83.1677424167569,7.07961853195809,0,96701.2421875
2020-01-01 21:00:00,0.689996337891046,0,289.649993896484,83.8588941543363,6.90690224322934,0,96749.21875
2020-01-01 22:00:00,0.540002441406045,0,289.649993896484,85.8676176826156,6.37640168611396,0,96616
2020-01-01 23:00:00,0.390008544922011,0,289.649993896484,87.9183122512069,5.84606694793573,0,96483.3203125
2020-01-02 00:00:00,0.249993896484,0,273.369995117188,89.9356403585303,5.31326629355667,0,96350.1015625
2020-01-02 01:00:00,0.0100036621089998,0,273.369995117188,90.5566191664041,5.21966493799129,0,96410.3828125
2020-01-02 02:00:00,-0.239996337891,0,273.369995117188,91.2528147496413,5.12726050243021,0,96470.65625
2020-01-02 03:00:00,-0.479986572266,0,241.399993896484,91.8782436535005,5.02637055391681,0,96530.296875
2020-01-02 04:00:00,-0.669989013671966,0,241.399993896484,92.2743304811837,5.25589193338766,0,96541.84375
2020-01-02 05:00:00,-0.850012207031,0,241.399993896484,92.6076339588994,5.52692496011757,0,96552.7421875
2020-01-02 06:00:00,-1.04001464843799,0,268.609985351562,93.0038557538142,5.82725480979824,0,96564.28125
2020-01-02 07:00:00,-0.759985351561966,0,268.609985351562,93.0367349430876,5.73942523677175,0,96597.5234375
2020-01-02 08:00:00,-0.470007324218955,30.3360004425049,268.609985351562,92.9833503306457,5.64025694092744,0,96630.5625
2020-01-02 09:00:00,-0.190008544921966,130.639999389648,296.100006103516,92.9571268619708,5.55697773650623,0,96663.703125
2020-01-02 10:00:00,0.450006103516046,198.608001708984,296.100006103516,90.5092605077323,5.44228808870541,0,96734.1796875
2020-01-02 11:00:00,1.08999023437502,253.384994506836,296.100006103516,88.1155767419074,5.36634879985629,0,96804.65625
2020-01-02 12:00:00,1.73000488281201,346.507995605469,270.670013427734,85.7780142384145,5.31836439498793,0,96875.140625
2020-01-02 13:00:00,1.95000610351605,315.634002685547,270.670013427734,84.8815462605715,4.78414045859031,0,96900.3828125
2020-01-02 14:00:00,2.170007324219,262.692993164062,270.670013427734,83.9860121917609,4.27307849786755,0,96925.6171875
2020-01-02 15:00:00,2.39000854492201,161.440002441406,235.770004272461,83.1049916067321,3.79191246860516,0,96951.3984375
