datetime,Depth_meter,Water_Temperature_celsius
2020-09-29,0,17.7458333333333
2020-09-30,0,17.3333333333333
2020-10-01,0,16.8125
2020-10-02,0,16.575
2020-10-03,0,16.0958333333333
2020-10-04,0,15.7333333333333
2020-10-05,0,15.4
2020-10-06,0,15.2208333333333
2020-10-07,0,15.1833333333333
2020-10-08,0,15.7041666666667
2020-10-09,0,15.2833333333333
2020-10-10,0,15.5125
2020-10-11,0,15.1791666666667
2020-10-12,0,15.0625
2020-10-13,0,14.7833333333333
2020-10-14,0,14.6333333333333
2020-10-15,0,14.3041666666667
2020-10-16,0,13.9333333333333
2020-10-17,0,13.4416666666667
2020-10-18,0,13.225
2020-10-19,0,12.875
2020-10-20,0,12.4375
2020-10-21,0,12.4541666666667
2020-10-22,0,12.2666666666667
2020-10-23,0,11.9708333333333
2020-10-24,0,11.6375
2020-10-25,0,11.2458333333333
2020-10-26,0,10.8666666666667
2020-10-27,0,10.7583333333333
2020-10-28,0,10.3875
2020-10-29,0,10.0875
2020-10-30,0,9.8625
2020-10-31,0,9.6875
2020-11-01,0,9.4625
2020-11-02,0,8.9625
2020-11-03,0,8.89166666666667
2020-11-04,0,9.0875
2020-11-05,0,9.60833333333333
2020-11-06,0,9.65
2020-11-07,0,9.47083333333333
2020-11-08,0,9.56666666666667
2020-11-09,0,9.86666666666667
2020-11-10,0,9.9875
2020-11-11,0,9.80833333333333
2020-11-12,0,9.6375
2020-11-13,0,9.44166666666667
2020-11-14,0,9.07083333333333
2020-11-15,0,8.92083333333333
2020-11-16,0,8.45833333333333
2020-11-17,0,8.07916666666667
2020-11-18,0,7.85
2020-11-19,0,7.76666666666667
2020-11-20,0,7.67083333333333
2020-11-21,0,7.62
2020-04-03,0.5,4.20833333333333
2020-04-04,0.5,4.38333333333333
2020-04-05,0.5,5.14583333333333
2020-04-06,0.5,5.375
2020-04-07,0.5,5.4125
2020-04-08,0.5,5.33333333333333
2020-04-09,0.5,5.425
2020-04-10,0.5,5.5625
2020-04-11,0.5,5.85
2020-04-12,0.5,5.99166666666667
2020-04-13,0.5,5.77916666666667
2020-04-14,0.5,5.60416666666667
2020-04-15,0.5,5.50416666666667
2020-04-16,0.5,5.55833333333333
2020-04-17,0.5,5.80416666666667
2020-04-18,0.5,5.70416666666667
2020-04-19,0.5,6.34166666666667
2020-04-20,0.5,6.54166666666667
2020-04-21,0.5,6.525
2020-04-22,0.5,6.80833333333333
2020-04-23,0.5,6.98333333333333
2020-04-24,0.5,7.09583333333333
2020-04-25,0.5,7.21666666666667
2020-04-26,0.5,7.85416666666667
2020-04-27,0.5,7.92916666666667
2020-04-28,0.5,7.65416666666667
2020-04-29,0.5,7.7375
2020-04-30,0.5,7.67083333333333
2020-05-01,0.5,8.74583333333333
2020-05-02,0.5,8.80833333333333
2020-05-03,0.5,9.65416666666667
2020-05-04,0.5,9.9125
2020-05-05,0.5,9.7125
2020-05-06,0.5,10.0208333333333
2020-05-07,0.5,10.1
2020-05-08,0.5,10.2166666666667
2020-05-09,0.5,10.2291666666667
2020-05-10,0.5,10.0375
2020-05-11,0.5,9.92083333333333
2020-05-12,0.5,10.5875
2020-05-13,0.5,10.4666666666667
2020-05-14,0.5,10.3375
2020-05-15,0.5,11.9416666666667
2020-05-16,0.5,12.475
2020-05-17,0.5,10.5541666666667
2020-05-18,0.5,10.7208333333333
2020-05-19,0.5,11.725
2020-05-20,0.5,11.8958333333333
2020-05-21,0.5,12.5041666666667
2020-05-22,0.5,13.6375
2020-05-23,0.5,13.55
2020-05-24,0.5,13.9583333333333
2020-05-25,0.5,16.0375
2020-05-26,0.5,16.7375
2020-05-27,0.5,17.375
