year	Onset	Offset	Duration
1995	6	166	161
1996	139	301	163
1997	148	298	151
1998	108	315	208
1999	115	291	177
2000	118	297	180
2001	119	290	172
2002	142	291	150
2003	135	295	161
2004	125	302	178
2005	123	303	181
2006	136	290	155
2007	122	300	179
2008	136	297	162
2009	186	279	94
2010	138	294	157
2011	147	219	73
2012	124	279	156
2013	133	297	165
2014	131	298	168
2015	122	303	182
2016	136	312	177
2017	128	296	169
2018	125	289	165
2019	143	285	143
