"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","Presspsia","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","NITRATE_UM_corrected","sampledate","NITRATE_uM_corrected","Dataset"
20,"2017-09-29 15:56:00","2017-09-29 15:57:00",19.9206666666667,11.91585,635.186666666667,0.157833333333333,0.713166666666667,0.177,0.164,0.497666666666667,17.7418333333333,50.9026666666667,3.1,0.34,7.07,28.3267833333333,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-29,NA,"Quinn"
21,"2017-09-29 15:58:00","2017-09-29 15:59:00",20.9365833333333,11.7854333333333,640.15,0.154833333333333,0.699333333333333,0.192833333333333,0.181666666666667,0.551166666666667,17.8623333333333,51.2451666666667,3.1,0.332,7.06,29.7720833333333,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-29,NA,"Quinn"
22,"2017-09-29 16:00:00","2017-09-29 16:01:00",21.9249166666667,11.75755,641.245,0.150333333333333,0.682333333333333,0.193333333333333,0.182,0.559333333333333,17.8915,51.3325,3.1,0.33,7.05,31.1776666666667,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-29,NA,"Quinn"
0,"2017-10-20 15:40:00","2017-10-20 15:41:00",0.145233333333333,16.3601166666667,535.776666666667,0.563,2.34733333333333,0.6535,0.663166666666667,1.54433333333333,11.5228333333333,33.0776666666667,85.29,8.344,8.11,0.206266666666667,10.3233333333333,0.143333333333333,0.1,0.02,25.0833333333333,26.0833333333333,25.0333333333333,10.3233333333333,2017-10-20,10.3233333333333,"Quinn"
2,"2017-10-20 15:42:00","2017-10-20 15:43:00",1.99695,16.3449,535.87,0.574166666666667,2.38933333333333,0.832833333333333,0.8495,1.59516666666667,11.6686666666667,33.4975,84.7466666666667,8.29233333333333,8.09516666666667,2.83773333333333,10.1233333333333,0.14,0.1,0.0216666666666667,24.9333333333333,26,24.1166666666667,10.1233333333333,2017-10-20,10.1233333333333,"Quinn"
4,"2017-10-20 15:44:00","2017-10-20 15:45:00",4.0356,16.2870666666667,536.013333333333,0.571,2.379,0.844333333333333,0.862166666666667,1.56816666666667,11.731,33.6735,83.6333333333333,8.19333333333333,8.109,5.73465,9.88666666666667,0.14,0.101666666666667,0.0266666666666667,24.4,25.3833333333333,23.4166666666667,9.88666666666667,2017-10-20,9.88666666666667,"Quinn"
6,"2017-10-20 15:46:00","2017-10-20 15:47:00",5.99055,15.9833333333333,537.003333333333,0.4225,1.7805,0.736833333333333,0.7495,1.33933333333333,11.9953333333333,34.4326666666667,76.7216666666667,7.56366666666667,8.04333333333333,8.51306666666667,9.76333333333333,0.14,0.1,0.02,23.8833333333333,24.7333333333333,22.85,9.76333333333333,2017-10-20,9.76333333333333,"Quinn"
8,"2017-10-20 15:48:00","2017-10-20 15:49:00",8.00126666666667,15.9436,537.215,0.359,1.52366666666667,0.6585,0.667833333333333,1.33233333333333,12.0178333333333,34.4993333333333,74.4066666666667,7.34216666666667,8.0295,11.3705833333333,9.51,0.13,0.108,0.022,23.42,24.06,22.36,9.51,2017-10-20,9.51,"Quinn"
10,"2017-10-20 15:50:00","2017-10-20 15:51:00",10.0133,15.9194,537.571666666667,0.382,1.616,0.618833333333333,0.626333333333333,1.24766666666667,12.0511666666667,34.5935,72.6,7.17,8.01,14.2298833333333,9.326,0.13,0.108,0.022,23.06,23.52,22.08,9.326,2017-10-20,9.326,"Quinn"
12,"2017-10-20 15:52:00","2017-10-20 15:53:00",11.9784833333333,15.9042,537.761666666667,0.363666666666667,1.54233333333333,0.657666666666667,0.666333333333333,1.28,12.059,34.6141666666667,71.6833333333333,7.07883333333333,8.00833333333333,17.0228166666667,9.28,0.13,0.108,0.02,22.76,23.06,21.86,9.28,2017-10-20,9.28,"Quinn"
