!datetime	Flow_metersCubedPerSecond	Water_Temperature_celsius	Salinity_practicalSalinityUnits
2020-08-22 00:00:00	79.7	24.666667	0
2020-08-23 00:00:00	85.6	25.379167	0
2020-08-24 00:00:00	76.9	26.358333	0
2020-08-25 00:00:00	61.5	26.045833	0
2020-08-26 00:00:00	67.7	25.7	0
2020-08-27 00:00:00	100	25.741667	0
2020-08-28 00:00:00	115	25.7625	0
2020-08-29 00:00:00	119	25.3	0
2020-08-30 00:00:00	99	24.9625	0
2020-08-31 00:00:00	77.8	24.075	0
2020-09-01 00:00:00	66	23.616667	0
2020-09-02 00:00:00	70.3	23.391667	0
2020-09-03 00:00:00	108	23.0875	0
2020-09-04 00:00:00	102	22.558333	0
2020-09-05 00:00:00	91.7	22.416667	0
2020-09-06 00:00:00	72.3	22.045833	0
2020-09-07 00:00:00	111	21.604167	0
2020-09-08 00:00:00	95.6	20.925	0
2020-09-09 00:00:00	99.7	20.004167	0
2020-09-10 00:00:00	111	19.045833	0
2020-09-11 00:00:00	129	18.6125	0
2020-09-12 00:00:00	177	18.375	0
2020-09-13 00:00:00	197	18.525	0
2020-09-14 00:00:00	133	18.929167	0
2020-09-15 00:00:00	92.3	18.520833	0
2020-09-16 00:00:00	119	18.816667	0
2020-09-17 00:00:00	98.5	18.9625	0
2020-09-18 00:00:00	90	18.766667	0
2020-09-19 00:00:00	85.2	18.3875	0
2020-09-20 00:00:00	86.4	18.095833	0
2020-09-21 00:00:00	86.7	17.9625	0
2020-09-22 00:00:00	92.5	18.6625	0
2020-09-23 00:00:00	84.1	19.320833	0
2020-09-24 00:00:00	83.8	18.654167	0
2020-09-25 00:00:00	75.1	18.275	0
2020-09-26 00:00:00	74.7	18.4125	0
2020-09-27 00:00:00	112	18.708333	0
2020-09-28 00:00:00	96.1	18.316667	0
2020-09-29 00:00:00	89.9	17.745833	0
2020-09-30 00:00:00	92.2	17.333333	0
2020-10-01 00:00:00	93	16.8125	0
2020-10-02 00:00:00	86.6	16.575	0
2020-10-03 00:00:00	85.3	16.095833	0
2020-10-04 00:00:00	86.4	15.733333	0
2020-10-05 00:00:00	53.3	15.4	0
2020-10-06 00:00:00	103	15.220833	0
2020-10-07 00:00:00	99.8	15.183333	0
2020-10-08 00:00:00	79.6	15.704167	0
2020-10-09 00:00:00	64.7	15.283333	0
2020-10-10 00:00:00	105	15.5125	0
2020-10-11 00:00:00	77.5	15.179167	0
2020-10-12 00:00:00	78.4	15.0625	0
2020-10-13 00:00:00	87.7	14.783333	0
2020-10-14 00:00:00	64.5	14.633333	0
2020-10-15 00:00:00	109	14.304167	0
