2020-04-03 00:00:00	22   2
-2	4.567
-3	4.578
-4	4.367
-5	4.333
-6	4.311
-7	4.3
-8	4.3
-9	4.289
-10	4.211
-11	4.2
-12	4.144
-13	4.167
-14	4.122
-15	4.144
-16	4.089
-17	4.067
-18	4.078
-19	4.056
-20	4.044
-21	4.056
-22	4
-23	4.689
